_id,ags2,bundesland,datum,m_code_m01a,m_code_m01b,m_code_m02a,m_code_m02b,m_code_m03,m_code_m04,m_code_m05,m_code_m06,m_code_m07,m_code_m08,m_code_m09,m_code_m10,m_code_m11,m_code_m12,m_code_m13,m_code_m14,m_code_m15,m_code_m16,m_code_m17,m_code_m18,m_code_m19,m_code_m20,m_code_m21
152,01,Schleswig-Holstein,2020-07-30,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
153,01,Schleswig-Holstein,2020-07-31,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
154,01,Schleswig-Holstein,2020-08-01,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
155,01,Schleswig-Holstein,2020-08-02,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
156,01,Schleswig-Holstein,2020-08-03,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
157,01,Schleswig-Holstein,2020-08-04,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
158,01,Schleswig-Holstein,2020-08-05,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
159,01,Schleswig-Holstein,2020-08-06,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
160,01,Schleswig-Holstein,2020-08-07,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
161,01,Schleswig-Holstein,2020-08-08,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
162,01,Schleswig-Holstein,2020-08-09,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
163,01,Schleswig-Holstein,2020-08-10,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
164,01,Schleswig-Holstein,2020-08-11,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
165,01,Schleswig-Holstein,2020-08-12,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
166,01,Schleswig-Holstein,2020-08-13,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
167,01,Schleswig-Holstein,2020-08-14,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
168,01,Schleswig-Holstein,2020-08-15,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
169,01,Schleswig-Holstein,2020-08-16,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
170,01,Schleswig-Holstein,2020-08-17,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
171,01,Schleswig-Holstein,2020-08-18,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
172,01,Schleswig-Holstein,2020-08-19,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
173,01,Schleswig-Holstein,2020-08-20,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
174,01,Schleswig-Holstein,2020-08-21,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
175,01,Schleswig-Holstein,2020-08-22,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
176,01,Schleswig-Holstein,2020-08-23,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
177,01,Schleswig-Holstein,2020-08-24,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
178,01,Schleswig-Holstein,2020-08-25,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
179,01,Schleswig-Holstein,2020-08-26,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
180,01,Schleswig-Holstein,2020-08-27,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
181,01,Schleswig-Holstein,2020-08-28,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
182,01,Schleswig-Holstein,2020-08-29,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
183,01,Schleswig-Holstein,2020-08-30,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
184,01,Schleswig-Holstein,2020-08-31,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
185,01,Schleswig-Holstein,2020-09-01,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
186,01,Schleswig-Holstein,2020-09-02,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
187,01,Schleswig-Holstein,2020-09-03,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
188,01,Schleswig-Holstein,2020-09-04,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
189,01,Schleswig-Holstein,2020-09-05,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
190,01,Schleswig-Holstein,2020-09-06,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
191,01,Schleswig-Holstein,2020-09-07,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
192,01,Schleswig-Holstein,2020-09-08,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
