_id,ags2,bundesland,ags5,kreis,kr_arm_alt,kr_sgb_qu,kr_arm_kind
277,09,freistaat bayern,09476,kronach,1.3,4.5,5.7
278,09,freistaat bayern,09477,kulmbach,1.8,5.9,6.1
279,09,freistaat bayern,09478,lichtenfels,1.8,5.5,6.4
280,09,freistaat bayern,09479,wunsiedel i.fichtelgebirge,1.4,7.7,12.5
281,09,freistaat bayern,09561,ansbach,3.8,10.6,15.6
282,09,freistaat bayern,09562,erlangen,2.8,6.8,9.4
283,09,freistaat bayern,09563,fuerth,4.1,10.3,15.7
284,09,freistaat bayern,09564,nuernberg,6.7,12.8,17.8
285,09,freistaat bayern,09565,schwabach,2.6,7.1,9.6
286,09,freistaat bayern,09571,ansbach,1.6,3.9,3.7
287,09,freistaat bayern,09572,erlangen-hoechstadt,1.0,3.7,3.9
288,09,freistaat bayern,09573,fuerth,1.2,3.3,4.1
289,09,freistaat bayern,09574,nuernberger land,1.3,4.5,5.7
290,09,freistaat bayern,09575,neustadt a.d.aisch-bad windsheim,1.6,5.1,6.7
291,09,freistaat bayern,09576,roth,1.6,4.2,3.9
292,09,freistaat bayern,09577,weissenburg-gunzenhausen,2.4,5.8,6.0
293,09,freistaat bayern,09661,aschaffenburg,5.1,11.4,16.1
294,09,freistaat bayern,09662,schweinfurt,5.7,14.4,22.1
295,09,freistaat bayern,09663,wuerzburg,5.1,10.1,12.8
296,09,freistaat bayern,09671,aschaffenburg,1.2,4.2,7.5
297,09,freistaat bayern,09672,bad kissingen,2.0,5.6,6.0
298,09,freistaat bayern,09673,rhoen-grabfeld,1.9,4.6,4.4
299,09,freistaat bayern,09674,hassberge,1.5,4.6,5.5
300,09,freistaat bayern,09675,kitzingen,1.6,4.5,5.6
301,09,freistaat bayern,09676,miltenberg,1.6,4.6,6.1
302,09,freistaat bayern,09677,main-spessart,1.2,3.8,5.2
303,09,freistaat bayern,09678,schweinfurt,1.1,3.7,4.6
304,09,freistaat bayern,09679,wuerzburg,1.2,3.4,4.5
305,09,freistaat bayern,09761,augsburg,5.4,9.1,12.5
306,09,freistaat bayern,09762,kaufbeuren,4.0,9.9,9.7
307,09,freistaat bayern,09763,kempten (allgaeu),4.1,8.3,8.9
308,09,freistaat bayern,09764,memmingen,2.6,6.4,7.2
309,09,freistaat bayern,09771,aichach-friedberg,1.2,2.9,3.8
310,09,freistaat bayern,09772,augsburg,1.4,3.7,5.0
311,09,freistaat bayern,09773,dillingen a.d.donau,2.3,5.1,5.5
312,09,freistaat bayern,09774,guenzburg,2.1,4.6,4.1
313,09,freistaat bayern,09775,neu-ulm,1.9,4.5,5.8
314,09,freistaat bayern,09776,lindau (bodensee),2.8,4.4,5.0
315,09,freistaat bayern,09777,ostallgaeu,1.3,3.3,3.8
316,09,freistaat bayern,09778,unterallgaeu,1.2,2.7,2.6
317,09,freistaat bayern,09779,donau-ries,1.5,3.2,2.7
318,09,freistaat bayern,09780,oberallgaeu,1.6,3.0,3.7
319,10,saarland,10041,regionalverband saarbruecken,5.5,17.4,28.8
320,10,saarland,10042,landkreis merzig-wadern,2.8,8.2,12.0
321,10,saarland,10043,landkreis neunkirchen,3.3,13.4,23.1
322,10,saarland,10044,landkreis saarlouis,2.9,9.6,15.3
323,10,saarland,10045,saarpfalz-kreis,2.6,8.9,15.0
324,10,saarland,10046,landkreis st. wendel,2.2,6.8,11.0
325,11,berlin,11000,berlin,6.1,18.9,28.9
326,12,brandenburg,12051,brandenburg an der havel,2.2,16.4,25.7
327,12,brandenburg,12052,cottbus,1.7,16.1,25.8
328,12,brandenburg,12053,frankfurt (oder),2.3,17.4,28.1
329,12,brandenburg,12054,potsdam,2.5,10.3,14.0
330,12,brandenburg,12060,barnim,1.3,9.8,12.9
331,12,brandenburg,12061,dahme-spreewald,1.1,7.5,10.9
332,12,brandenburg,12062,elbe-elster,0.8,11.4,16.3
333,12,brandenburg,12063,havelland,1.4,8.7,11.7
334,12,brandenburg,12064,maerkisch-oderland,0.7,9.7,13.0
335,12,brandenburg,12065,oberhavel,1.2,8.0,11.2
336,12,brandenburg,12066,oberspreewald-lausitz,0.9,13.1,20.0
337,12,brandenburg,12067,oder-spree,1.2,10.7,12.7
338,12,brandenburg,12068,ostprignitz-ruppin,1.6,12.7,16.3
339,12,brandenburg,12069,potsdam-mittelmark,1.1,5.8,6.8
340,12,brandenburg,12070,prignitz,1.1,14.3,22.4
341,12,brandenburg,12071,spree-neisse,0.9,10.8,15.2
342,12,brandenburg,12072,teltow-flaeming,1.4,8.6,12.0
343,12,brandenburg,12073,uckermark,1.2,16.5,24.2
344,13,mecklenburg-vorpommern,13003,"rostock, hansestadt",2.5,15.1,23.1
345,13,mecklenburg-vorpommern,13004,"schwerin, landeshauptstadt",3.8,17.4,25.7
346,13,mecklenburg-vorpommern,13071,mecklenburgische seenplatte,1.0,14.7,20.5
347,13,mecklenburg-vorpommern,13072,landkreis rostock,1.0,10.2,13.1
348,13,mecklenburg-vorpommern,13073,vorpommern-ruegen,1.1,12.7,19.1
349,13,mecklenburg-vorpommern,13074,nordwestmecklenburg,1.8,10.4,13.7
350,13,mecklenburg-vorpommern,13075,vorpommern-greifswald,1.3,14.0,19.9
351,13,mecklenburg-vorpommern,13076,ludwigslust-parchim,1.4,10.2,14.1
352,14,sachsen,14511,chemnitz,1.6,11.9,18.9
353,14,sachsen,14521,erzgebirgskreis,0.5,7.4,9.5
354,14,sachsen,14522,mittelsachsen,0.6,7.8,10.3
355,14,sachsen,14523,vogtlandkreis,0.7,8.4,12.5
356,14,sachsen,14524,zwickau,0.7,8.6,12.7
357,14,sachsen,14612,dresden,1.7,10.0,13.7
358,14,sachsen,14625,bautzen,0.7,8.4,10.9
359,14,sachsen,14626,goerlitz,1.1,12.1,17.1
360,14,sachsen,14627,meissen,0.8,8.6,11.7
361,14,sachsen,14628,saechsische schweiz-osterzgebirge,0.7,8.0,11.5
362,14,sachsen,14713,leipzig,2.4,13.8,21.2
363,14,sachsen,14729,leipzig,0.8,8.7,11.8
364,14,sachsen,14730,nordsachsen,0.8,10.4,14.7
365,15,sachsen-anhalt,15001,dessau-rosslau,1.5,14.0,25.0
366,15,sachsen-anhalt,15002,halle (saale),2.1,17.6,32.4
