_id,ags2,bundesland,ags5,kreis,kr_schu_kom,kr_sk,kr_us_ew
307,09,freistaat bayern,09763,kempten (allgaeu),37.5,1022.8,93.1
308,09,freistaat bayern,09764,memmingen,579.0,1270.8,104.3
309,09,freistaat bayern,09771,aichach-friedberg,565.5,958.8,42.1
310,09,freistaat bayern,09772,augsburg,627.3,997.5,44.1
311,09,freistaat bayern,09773,dillingen a.d.donau,1123.2,1029.0,53.6
312,09,freistaat bayern,09774,guenzburg,559.8,862.5,60.0
313,09,freistaat bayern,09775,neu-ulm,581.7,1081.5,60.9
314,09,freistaat bayern,09776,lindau (bodensee),971.3,1007.5,58.9
315,09,freistaat bayern,09777,ostallgaeu,1240.6,992.6,50.1
316,09,freistaat bayern,09778,unterallgaeu,709.7,1034.0,48.4
317,09,freistaat bayern,09779,donau-ries,577.2,1106.0,70.6
318,09,freistaat bayern,09780,oberallgaeu,1377.9,895.6,49.5
319,10,saarland,10041,regionalverband saarbruecken,4956.6,751.6,93.7
320,10,saarland,10042,landkreis merzig-wadern,2478.4,573.6,49.9
321,10,saarland,10043,landkreis neunkirchen,2544.8,589.5,51.9
322,10,saarland,10044,landkreis saarlouis,2453.2,676.2,73.7
323,10,saarland,10045,saarpfalz-kreis,3746.1,821.7,84.4
324,10,saarland,10046,landkreis st. wendel,3107.3,649.6,52.0
325,11,berlin,11000,berlin,0.0,833.2,65.0
326,12,brandenburg,12051,brandenburg an der havel,2276.1,584.3,65.7
327,12,brandenburg,12052,cottbus,2711.0,666.3,82.4
328,12,brandenburg,12053,frankfurt (oder),2208.2,597.5,77.9
329,12,brandenburg,12054,potsdam,410.0,807.4,79.1
330,12,brandenburg,12060,barnim,232.8,595.7,35.7
331,12,brandenburg,12061,dahme-spreewald,459.7,1511.4,51.5
332,12,brandenburg,12062,elbe-elster,537.2,482.6,42.2
333,12,brandenburg,12063,havelland,506.4,608.5,35.9
334,12,brandenburg,12064,maerkisch-oderland,368.0,597.5,33.5
335,12,brandenburg,12065,oberhavel,139.8,837.2,51.0
336,12,brandenburg,12066,oberspreewald-lausitz,528.6,576.4,60.8
337,12,brandenburg,12067,oder-spree,1135.6,590.5,44.4
338,12,brandenburg,12068,ostprignitz-ruppin,824.3,587.5,46.8
339,12,brandenburg,12069,potsdam-mittelmark,423.7,703.8,39.9
340,12,brandenburg,12070,prignitz,410.1,554.4,44.4
341,12,brandenburg,12071,spree-neisse,1229.6,573.3,59.6
342,12,brandenburg,12072,teltow-flaeming,800.1,935.6,56.8
343,12,brandenburg,12073,uckermark,704.2,550.8,45.6
344,13,mecklenburg-vorpommern,13003,"rostock, hansestadt",656.7,675.5,74.6
345,13,mecklenburg-vorpommern,13004,"schwerin, landeshauptstadt",2407.6,640.1,88.3
346,13,mecklenburg-vorpommern,13071,mecklenburgische seenplatte,1688.9,549.5,52.2
347,13,mecklenburg-vorpommern,13072,landkreis rostock,1222.6,571.0,39.6
348,13,mecklenburg-vorpommern,13073,vorpommern-ruegen,1562.2,531.6,46.4
349,13,mecklenburg-vorpommern,13074,nordwestmecklenburg,1590.4,595.5,42.6
350,13,mecklenburg-vorpommern,13075,vorpommern-greifswald,2088.8,480.9,46.3
351,13,mecklenburg-vorpommern,13076,ludwigslust-parchim,1379.6,606.8,40.6
352,14,sachsen,14511,chemnitz,630.4,632.5,88.1
353,14,sachsen,14521,erzgebirgskreis,619.5,495.0,51.1
354,14,sachsen,14522,mittelsachsen,459.4,571.2,60.3
355,14,sachsen,14523,vogtlandkreis,956.0,532.7,57.6
356,14,sachsen,14524,zwickau,506.8,578.0,71.8
357,14,sachsen,14612,dresden,0.0,754.4,81.9
358,14,sachsen,14625,bautzen,558.3,582.9,61.0
